author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,3,3,2,55.9,not available,False,152039
real_estate_agent,3,5,2,48.4,not available,False,185950
real_estate_agent,2,6,1,60.8,Технологический институт,True,152961
real_estate_agent,4,9,2,45.9,Гражданский проспект,True,217647
real_estate_agent,7,11,2,43.2,Московская,True,238194
real_estate_agent,7,9,2,65.9,not available,False,159332
representative_developer,1,10,1,50.7,not available,False,225000
real_estate_agent,2,5,2,57.1,Ладожская,True,201313
representative_developer,5,12,1,28.18,not available,False,415590
realtor,3,9,1,48.8,not available,False,250000
real_estate_agent,7,12,1,39.1,Пионерская,True,319693
real_estate_agent,5,8,2,53.0,not available,False,239623
real_estate_agent,16,25,2,47.0,Трикотажная,True,274255
representative_developer,1,6,2,65.27,not available,False,197000
developer,2,11,1,37.6,Фрунзенская,True,343700
real_estate_agent,1,3,2,65.0,not available,False,200000
real_estate_agent,7,8,1,37.8,Московские ворота,True,343915
real_estate_agent,3,17,1,38.7,Медведково,True,346253
realtor,9,9,2,51.0,Южная,True,269608
real_estate_agent,4,19,1,36.8,Фрунзенская,True,375000
real_estate_agent,11,14,1,47.7,Московские ворота,True,289308
real_estate_agent,8,13,2,51.56,Комендантский проспект,True,271528
real_estate_agent,8,13,2,51.56,Комендантский проспект,True,271528
real_estate_agent,7,9,1,32.0,Дмитровская,True,435938
real_estate_agent,10,17,2,69.1,Комендантский проспект,True,209797
realtor,4,9,2,50.3,not available,False,290000
real_estate_agent,7,23,1,38.5,Лесопарковая,True,389610
real_estate_agent,13,14,2,51.12,Черная речка,True,296362
representative_developer,1,12,2,47.95,not available,False,359000
representative_developer,7,10,2,80.5,not available,False,215000
developer,4,12,1,47.7,not available,False,381895
unknown,9,12,2,65.0,Озерки,True,282308
realtor,12,12,2,43.9,Динамо,True,432779
real_estate_agent,4,4,2,71.6,Ленинский проспект,True,282123
real_estate_agent,12,25,2,61.0,Бульвар Генерала Карбышева,True,377049
real_estate_agent,1,9,2,66.0,not available,False,386364
homeowner,9,14,2,67.0,Новочеркасская,True,414478
developer,2,21,1,25.08,not available,False,135638
developer,7,23,1,43.3,not available,False,133000
developer,10,15,2,39.2,not available,False,151000
developer,2,25,2,44.72,not available,False,139450
developer,2,19,1,48.44,not available,False,134865
real_estate_agent,18,20,2,52.3,not available,False,137667
real_estate_agent,2,8,2,47.4,not available,False,158228
homeowner,11,12,2,52.4,not available,False,143130
developer,6,15,2,44.9,not available,False,185000
real_estate_agent,8,13,2,62.2,not available,False,144695
developer,2,5,2,64.22,not available,False,149486
developer,8,19,2,62.59,not available,False,163100
real_estate_agent,16,17,1,46.3,not available,False,235421
real_estate_agent,3,4,1,29.9,Купчино,True,143813
real_estate_agent,9,11,1,32.0,not available,False,137500
developer,3,16,1,25.93,not available,False,175000
homeowner,2,5,1,30.0,not available,False,176667
realtor,8,22,1,41.26,not available,False,133301
real_estate_agent,10,13,1,35.24,not available,False,158910
developer,1,12,1,38.08,not available,False,151000
developer,9,16,1,37.4,not available,False,159000
developer,18,26,1,41.61,not available,False,149000
developer,1,16,1,38.27,not available,False,180800
real_estate_agent,2,17,1,40.0,not available,False,187500
developer,9,16,2,47.28,not available,False,160000
representative_developer,7,16,1,45.3,not available,False,169205
real_estate_agent,5,5,1,30.0,not available,False,261667
developer,5,9,2,53.11,Рыбацкое,True,153916
developer,12,14,1,34.1,Площадь Тукая,True,242880
real_estate_agent,4,9,2,51.6,Проспект Славы,True,164535
real_estate_agent,16,19,2,51.0,not available,False,166667
developer,1,10,1,41.54,not available,False,210000
homeowner,2,4,1,42.5,not available,False,211529
representative_developer,1,15,1,40.2,not available,False,230000
real_estate_agent,12,12,2,51.0,Старая Деревня,True,184314
real_estate_agent,3,10,2,54.4,not available,False,174632
homeowner,10,14,1,52.0,Алабинская,True,201923
developer,14,15,2,51.74,not available,False,209509
developer,2,25,2,61.4,Горки,True,207000
real_estate_agent,17,17,2,70.5,Горьковская,True,187092
real_estate_agent,6,7,2,68.0,not available,False,198529
real_estate_agent,6,9,1,37.42,Елизаровская,True,370000
real_estate_agent,9,19,2,45.0,not available,False,322222
real_estate_agent,7,8,1,42.19,Елизаровская,True,370000
real_estate_agent,8,18,2,56.0,not available,False,305357
real_estate_agent,8,9,1,43.7,Крестовский остров,True,415000
developer,5,12,2,46.0,not available,False,403261
developer,4,23,2,62.03,not available,False,300000
real_estate_agent,8,12,2,57.1,Василеостровская,True,327496
real_estate_agent,7,11,2,60.2,Фрунзенская,True,360000
real_estate_agent,7,12,2,75.0,not available,False,293333
real_estate_agent,9,11,2,60.4,Фрунзенская,True,370000
representative_developer,1,8,2,71.4,Крестовский остров,True,370000
developer,1,16,1,26.7,not available,False,136712
real_estate_agent,1,5,1,30.8,not available,False,129870
developer,16,17,1,25.5,not available,False,168933
developer,7,15,1,29.4,not available,False,158000
developer,3,8,1,38.0,not available,False,136800
