author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,2,23,2,74.6,Терехово ,True,482574
real_estate_agent,5,17,2,49.0,Ленинский проспект,True,751020
real_estate_agent,4,8,2,65.0,Маяковская,True,613846
real_estate_agent,14,15,2,59.2,Нагатинский Затон,True,734797
real_estate_agent,2,15,2,74.0,Динамо,True,648649
real_estate_agent,5,22,2,100.0,Университет,True,770000
developer,2,9,2,64.5,not available,False,118100
real_estate_agent,22,22,1,14.3,Юго-Западная,True,579021
real_estate_agent,22,22,1,14.3,Юго-Западная,True,579021
real_estate_agent,22,22,1,17.2,Юго-Западная,True,510465
real_estate_agent,22,22,1,17.2,Юго-Западная,True,510465
real_estate_agent,22,22,1,19.4,Юго-Западная,True,457732
real_estate_agent,22,22,1,19.4,Юго-Западная,True,457732
real_estate_agent,22,22,1,16.0,Юго-Западная,True,555000
real_estate_agent,22,22,1,17.2,Юго-Западная,True,529651
real_estate_agent,22,22,1,20.0,Юго-Западная,True,488500
developer,9,25,2,85.3,Заельцовская,True,173039
real_estate_agent,4,9,2,45.0,Войковская,True,388667
real_estate_agent,8,12,2,38.3,Полежаевская,True,478198
developer,8,28,1,39.7,Нагорная,True,465100
real_estate_agent,51,53,2,37.4,Мичуринский проспект,True,521390
real_estate_agent,18,22,1,43.4,Стрешнево,True,449309
real_estate_agent,4,5,2,53.9,Университет,True,367161
real_estate_agent,11,34,1,46.4,Воронцовская,True,430819
real_estate_agent,13,17,2,52.2,Тропарёво,True,382184
real_estate_agent,7,25,2,62.9,Тушинская,True,325914
real_estate_agent,12,12,1,42.06,Спартак,True,489777
real_estate_agent,5,14,2,48.25,Автозаводская,True,455938
real_estate_agent,18,27,2,60.0,Авиамоторная,True,383333
realtor,19,24,2,60.0,Бульвар Рокоссовского,True,386667
real_estate_agent,8,24,2,45.2,Народное Ополчение,True,515487
real_estate_agent,13,24,1,42.9,Полежаевская,True,559441
real_estate_agent,14,48,1,42.0,Народное Ополчение,True,583333
real_estate_agent,6,12,2,49.9,Багратионовская,True,495792
realtor,11,24,2,61.4,Отрадное,True,407003
real_estate_agent,3,8,2,57.7,Вавиловская,True,441924
